Annual - Average Value Weighted Returns,,,,,,,,,,
Year,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
1981,15.83,-2.14,-5.24,-21.24,-13.49,33.66,12.88,4.04,6.06,3.77
1982,40.3,58.6,13.82,-13.8,43.65,19.7,62.85,31.98,22.46,21.27
1983,24.57,33.79,27.56,27.54,21.15,11.97,26.91,3.19,18.52,23.22
1984,11.77,1.65,-1.42,12.03,-9.81,24.41,-0.6,1.69,19.8,3.86
1985,44.74,21.96,29.96,19.96,20.98,39.36,40.85,41.68,30.8,40.37
1986,29.71,17.86,20,13.62,-3.6,19.29,17.39,27.55,26.94,13.09
1987,7.46,7.09,8.73,7.96,8.08,10.16,-5.82,4.39,-7.21,-7.05
1988,32.41,18.4,13.88,20.76,0.79,23.65,29.61,12.87,17.82,18.41
1989,36.21,4.03,25.88,36.84,-3.19,58.44,26.1,45.81,32.31,28.78
1990,5.08,-21.96,-6.47,-1.46,-0.57,-15.79,-4.32,16.08,-1.13,-18.77
1991,44.74,17.93,29.87,6.73,27.78,15.62,56.06,61.38,24.33,43.34
1992,5.05,38.52,9.77,4.79,10.06,17.75,16.47,-14.83,8.38,22.93
1993,-2.6,43.57,16.41,13.83,20.79,20.38,2.84,-6.34,12.71,13.44
1994,2.42,-14.64,5.73,2.52,18.34,-5.2,-8.32,7.13,-11.2,-4.42
1995,35.56,14.61,31.15,28.48,42.95,39.27,17.68,56.77,31.55,45.23
1996,22.59,15.25,26.2,27.42,30.95,0.38,16.25,17.36,6.59,25.31
1997,31.58,28.1,23.66,19.97,21.71,43.98,31.73,38.02,27.75,43.03
1998,9.87,30.73,6.37,-1.76,63.35,48.42,40.88,38.45,11.43,8.58
1999,-14.51,-3.08,24.08,19.55,82.64,37.41,13.36,-2.66,-14.2,3.65
2000,23.92,-16.99,1.29,22.28,-37.47,-39.46,-10.82,37.93,51.76,13.28
2001,0.89,4.33,-6.17,-7.09,-24.73,-17.12,5.52,-12.19,-10.58,-5.3
2002,-0.75,-16.71,-6.79,-9.1,-38.41,-30.62,-20.52,-22.59,-21.48,-17.44
2003,17.37,48.43,32.87,26.26,48.6,15.55,29.59,21.43,25.84,33.82
2004,10.67,7.85,16.04,32.97,4.81,7.73,12.25,0.56,24.81,15.96
2005,0.99,-19.78,6.88,33.37,1.17,-6.75,6.21,4.74,17.57,6.74
2006,18.4,22.61,19.08,21.55,9.17,36.27,10.11,8.12,20.97,15.74
2007,11.41,-3.52,20.98,32.66,16.85,-2.13,-3.99,3.67,18.69,-9.54
2008,-24.77,-58.31,-40.34,-33.98,-42.51,-35.41,-22.14,-17.23,-28.79,-47.13
2009,26.91,77.89,35.1,14.89,58.48,26.19,29.34,21.18,14.71,20.1
2010,19.71,52.36,25.86,19.92,15.29,22.79,19.23,4.71,8.15,16.03
2011,14.8,-24.29,-0.87,3,-1.16,5.93,11.12,10.87,20.77,-9.83
2012,11.94,24.28,14.83,3.65,13.31,29.23,18.19,20.4,3.99,22.03
2013,26.55,45.61,36.52,25.27,32.98,36.5,35.36,41.43,16.54,41.07
2014,13.07,7.84,7.32,-12.33,16.62,6.59,13,24.53,23.35,12.21
2015,9.12,-5.52,-6.82,-19.3,4.97,-1.42,7.06,6.12,-14.11,-1.35
2016,7.71,10.14,16.98,25.63,12.28,19.25,3.82,-4.49,22.11,20.22
