Year/Month;NoDur;Durbl;Manuf;Enrgy;HiTec;Telcm;Shops;Hlth ;Utils;Other
193006;-0.160873226;-0.323516525;-0.2125746;-0.194556094;-0.285284948;-0.109033921;-0.196988594;-0.150939176;-0.195406796;-0.182361558
193007;0.020684591;0.085810656;0.045451263;0.024692613;0.063538021;0.047646653;0.009058844;0.085902429;0.038739828;0.030723173
193008;-0.007528266;-0.055935632;-0.02644665;-0.047825629;0.003593536;0.014790085;0.007074914;0.01133551;0.011632084;-0.017247893
193009;-0.135705182;-0.222518747;-0.176617854;-0.191644884;-0.242836185;-0.058158914;-0.110819835;-0.059113264;-0.126470664;-0.164874643
193010;-0.036456537;-0.168300315;-0.111378588;-0.138457793;-0.167590592;-0.030665414;-0.125676608;-0.053822807;-0.10192199;-0.09783336
193011;-0.012781334;0.061753396;-0.024600117;-0.067957693;-0.006621876;-0.024190239;-0.016231013;-0.02706292;-0.064965279;-0.045415864
193012;-0.129311736;-0.110931561;-0.158761292;-0.215547475;-0.137424676;-0.025728149;-0.175663769;-0.102365007;-0.047406122;-0.155017722
193101;0.142714102;0.134880482;0.111094048;0.16627686;0.140718007;0.042963699;0.095219267;0.076868444;0.050788167;0.173280812
193102;0.125221965;0.206607583;0.157516438;0.134268621;0.212203931;0.058363243;0.157516438;0.150056596;0.1434941;0.110109223
193103;-0.005515181;-0.051925073;-0.081426999;-0.136851183;-0.119572135;-0.010050336;-0.012680053;0.006478966;-0.045834536;-0.095520202
193104;-0.151986357;-0.227026079;-0.192008322;-0.19431317;-0.178528759;-0.077529203;-0.107696575;-0.121376986;-0.10491617;-0.152568599
193105;-0.101589856;-0.187173308;-0.17924629;-0.191281578;-0.127606125;-0.085884739;-0.099599365;-0.173282532;-0.124090385;-0.17805069
193106;0.141412753;0.174709324;0.195402296;0.192354392;0.151948256;0.101111501;0.068686158;0.115380151;0.09630968;0.20587531
193107;-0.0216323;-0.069671673;-0.101147182;-0.07063708;-0.104472022;-0.009646377;-0.037286585;-0.033556784;-0.026960182;-0.094860281
193108;-0.022961612;-0.035419945;-0.033453376;0.0835136;-0.023268627;-0.002002003;-0.001400981;-0.011060947;0.008464078;-0.044683608
193109;-0.31992982;-0.42556578;-0.389050567;-0.386692423;-0.472566912;-0.190797375;-0.340660997;-0.381992752;-0.385956642;-0.330172124
193110;0.100116791;0.124339274;0.1167158;0.102917534;0.130238477;0.009752291;0.072692685;0.124074315;0.076961041;0.046979001
