-0.8,4,-0.49,0.26,1.65,4.29,0.58,7.5,2.78,-0.75,387.86,12.275,17.82,0.441531837,0.0522,0.0861,0.0951,0.079,0.0229915359,0.00435,0.0043923865,0.0303,0.0271,0.00047469,-0.0017709068,-0.016861,-0.019061,15.85,1.92
1.92,2.41,2.9,0.77,3.07,6.79,0.29,10.61,1.02,1.29,392.46,12.251,17.2033,0.4340034538,0.0499,0.0855,0.0949,0.0791,0.0252184874,0.0041583333,0.0014577259,0.0054,0.0043,0.0011256383,-0.0021871421,0.013458,0.011899,15.48,-1.5
-1.5,-2.2,-2.03,-4.25,-3.7,-5.09,-4,-0.38,1.39,-2.29,375.22,12.227,16.5867,0.4601544903,0.0456,0.0848,0.0945,0.0789,0.0303835153,0.0038,0.0029112082,0.0082,0.0106,0.0020490256,-0.001427475,-0.040214,-0.043973,20.26,4.2
4.2,2.01,4.06,-6.57,3.89,2.55,3.72,10.78,3.47,3.63,417.09,12.203,15.97,0.4203444173,0.0407,0.0831,0.0926,0.073,0.0315377294,0.0033916667,0.0007256894,0.0581,0.0436,0.0020495219,-0.0012532164,0.114089,0.111476,19.31,12.13
12.13,17.3,13.23,6.67,21.18,5.96,13.17,24.78,-1.76,18.71,408.79,12.2433,16.0433,0.4132296785,0.038,0.082,0.0913,0.0776,0.0316649252,0.0031666667,0.0014503263,-0.0324,-0.0173,0.0008724549,-0.0012723765,-0.018348,-0.019654,17.4,6.12
6.12,11,5.47,2.66,8.38,1.33,6.48,-0.96,0,6.98,412.7,12.2837,16.1167,0.4076305252,0.0384,0.0829,0.0923,0.0777,0.0332842419,0.0032,0.0036205648,0.0051,0.0096,0.0009132361,-0.0013307521,0.012865,0.009442,16.68,-0.82
-0.82,-0.62,0.75,-3.98,-1.94,-1.62,0.6,-7.12,-0.6,-0.21,403.69,12.324,16.19,0.4021060342,0.0404,0.0835,0.0925,0.0797,0.0416282636,0.0033666667,0.0050505051,-0.0094,-0.0073,0.0004697601,-0.0012508721,-0.01947,-0.021873,16.18,-3.31
-3.31,-3.25,-2.66,-0.19,-5.43,-1.96,-5.34,-11.48,0.99,-1.12,414.95,12.3227,16.4767,0.3873034718,0.0375,0.0833,0.0921,0.0803,0.0383939214,0.003125,0.0014357502,0.0016,0.0016,0.0016610518,-0.0015031952,0.028614,0.027157,15.53,-0.97
-0.97,-1.37,0.48,3.77,-1.33,-1.42,-1.44,-1.3,2.9,2.26,415.35,12.3213,16.7633,0.3829985163,0.0363,0.0828,0.0913,0.0781,0.0370813555,0.003025,0.0014336918,0.0243,0.0254,0.0006900329,-0.0015877929,0.00485,0.001087,13.86,-5.21
-5.21,-2.35,-4.34,-5.27,-7.46,-0.87,-4.44,-6.1,0.25,-2.15,408.14,12.32,17.05,0.3920423538,0.0366,0.0822,0.0905,0.0765,0.0429366245,0.00305,0.0035790981,0.02,0.0156,0.0007529192,-0.0012735065,-0.01503,-0.017545,13.35,1.72
