"NoDur","Durbl","Manuf","Enrgy","HiTec","Telcm","Shops","Hlth","Utils","Other","Index","D12","E12","b.m","tbl","AAA","BAA","lty","ntis","Rfree","infl","ltr","corpr","svar","csp","CRSP_SPvw","CRSP_SPvwx","YNeg"
15.34,14.44,11.75,18.09,15.11,4.39,9.99,7.99,5.21,18.92,16.09,0.9667,0.94,0.5391520019,0.0124,0.0442,0.0641,0.0343,0.089710832,0.0010333333,-0.0124223602,-0.0121,0.0203,0.0052243116,0,0.059527,0.056729,-1.27
13.34,22.95,17.06,14.37,23.64,6.01,17.06,16.19,15.43,11.64,17.93,0.9533,0.91,0.4796679626,0.0106,0.0443,0.0638,0.0338,0.082533364,0.0008833333,-0.0125786164,0.0085,0.0068,0.0028846263,0,0.110943,0.105279,-12.13
-9.66,-17.07,-16.41,-17.41,-11.98,-8.23,-9.48,-15.91,-11.67,-16.31,13.02,0.9133,0.82,0.7099486221,0.0088,0.0437,0.0715,0.0317,0.0713674036,0.0007333333,-0.0129032258,0.0145,0.0134,0.0069106954,0,-0.137674,-0.14302,-0.55
15.19,19.09,21.58,21.21,16.41,10.64,7.11,12.23,10.11,22.86,14.83,0.9,0.79,0.6072712745,0.0055,0.0436,0.0736,0.0319,0.0637461202,0.0004583333,-0.0130718954,4e-04,0.0052,0.0233329496,0,0.146492,0.139763,-14.1
-2.14,-6.73,-9.62,-6.82,-9.92,-0.96,-3.66,-3.3,-2.66,-9.05,13.73,0.8867,0.76,0.6736095723,0.0041,0.0436,0.0708,0.0325,0.0339939666,0.0003416667,0,-0.0042,0.0052,0.0070392564,0,-0.075465,-0.07857,-9.66
-27.38,-34.66,-32.23,-32.07,-37.66,-17.37,-28.87,-31.75,-32.02,-28.12,9.71,0.86,0.7,0.9440016561,0.0045,0.0455,0.0807,0.0353,0.0303524609,0.000375,-0.0066225166,-0.0281,-0.0014,0.0234589946,0,-0.287461,-0.291524,-2.14
10.53,13.24,12.38,10.84,13.91,0.98,7.54,13.21,8,4.81,10.53,0.8467,0.67,0.8771761085,0.017,0.0499,0.0904,0.0385,0.0112531729,0.0014166667,-0.0066666667,-0.033,-0.0363,0.0425019555,0,0.076738,0.072834,-2.27
-7.54,-0.95,-9.36,-7.95,-10.22,-13.82,-8.97,-9.05,-4.52,-13.74,9.5,0.8333,0.64,0.9715564078,0.0177,0.0494,0.0893,0.0385,0.003378334,0.001475,-0.0134228188,0.0027,-0.0189,0.011434544,0,-0.100909,-0.109396,-27.38
6.46,8.62,6.47,8.92,6.74,-1.22,5.84,0.98,-2.15,15.14,7.89,0.7933,0.5933,1.1913781842,0.0248,0.052,0.0913,0.039,-0.0115774352,0.0020666667,-0.0205479452,0.0034,-0.0052,0.0173767845,0,-0.018803,-0.021067,-7.54
2.96,2.21,1.29,4.42,3.54,5.31,1.21,-1.71,5.62,1.56,8.29,0.7667,0.5767,1.1198428291,0.0242,0.0523,0.0887,0.0367,-0.0157276692,0.0020166667,-0.013986014,0.0413,-0.0238,0.0267152506,0,0.053581,0.045233,-13.2
-16.27,-22.91,-20.44,-9.81,-19.63,-18.44,-22.22,-26.3,-29.55,-24.64,4.47,0.6867,0.5267,1.9423334823,0.0031,0.0536,0.11,0.0349,-0.0340510446,0.0002583333,-0.0143884892,-0.0188,0.0107,0.0231837923,0,-0.232123,-0.240123,-7.47
7.75,4.12,5.13,2.21,6.82,-10.8,2.37,5.88,-0.29,1.34,4.43,0.66,0.51,2.0284780579,0.0034,0.0541,0.11,0.0347,-0.0406886277,0.0002833333,-0.0072992701,0.0065,-9e-04,0.0343025832,0,0.002768,-0.006507,-15.92
36.22,37.56,46.85,47.72,46.06,30.19,24.2,30.86,36.79,56.12,6.1,0.6333,0.4933,1.6125440713,0.0022,0.0526,0.1079,0.032,-0.0291765092,0.0001833333,0,0.0481,0.0043,0.0201105785,0,0.391838,0.390006,-16.27
-7.61,-7.44,-4.51,-4.45,-8.74,-1.24,-6.82,-3.77,-6.58,-10.25,6.55,0.5267,0.4267,1.5421472937,1e-04,0.0463,0.0824,0.0322,-0.0033213911,8.3333e-06,-0.007518797,0.0032,0.0073,0.0233166031,0,-0.052228,-0.058702,-4.98
-2.19,-5.77,-3.53,-4.94,-2.34,-0.48,-5.65,-0.92,3.05,-4.19,6.89,0.5,0.41,1.4420843014,4e-04,0.0459,0.0842,0.0315,-0.005031571,3.33333e-05,-0.0075757576,0.0131,0.0139,0.0102230989,0,0.061569,0.053749,-13.58
2.81,2.61,4.37,-1.49,5.86,-0.55,0.53,-1.45,-5.68,7.7,6.94,0.495,0.4125,1.4269293924,7e-04,0.0444,0.0801,0.0308,-0.0064898135,5.83333e-05,-0.0152671756,0.0148,0.0547,0.0059166089,0,0.013938,0.012575,-7.61
-7.95,-25.58,-17.09,-9.45,-16.57,-12.29,-17.35,-11.27,-21.74,-16.37,5.66,0.49,0.415,1.6909904651,1e-04,0.0448,0.0837,0.0325,-0.0058167549,8.3333e-06,-0.015503876,-0.0258,-0.0523,0.0156669282,0,-0.179558,-0.186035,-2.19
53.81,63.74,59.84,39.08,54.68,34.49,43.53,23.01,35.11,41.66,8.32,0.48,0.42,1.1190150479,0.0045,0.0478,0.0912,0.0325,-0.006368252,0.000375,0,-0.0032,-0.0095,0.0291512255,0,0.414312,0.412291,-7.95
-13.86,-16.98,-14.43,-9.18,-14.81,-8.52,-15.37,-7.25,-23.04,-17.91,9.83,0.455,0.4325,0.8679966044,4e-04,0.0436,0.0727,0.0308,-0.0004583629,3.33333e-05,0,0.0023,-0.0014,0.0142499091,0,-0.118045,-0.121112,-9.05
3.57,11.25,9.24,6.84,9.93,3.71,8.07,6.49,-0.55,3.22,9.88,0.445,0.4375,0.8335031588,0.0022,0.0454,0.0798,0.0327,0.0059235947,0.0001833333,0,-0.0149,-0.0248,0.0095815761,0,0.108553,0.10207,-13.86
-0.15,9.17,3.7,-7.41,10.38,-0.21,1.4,-10.96,-2.41,1.28,10.1,0.44,0.44,0.8290260464,0.0029,0.045,0.0775,0.0336,0.0061958281,0.0002416667,0,-0.0113,0.0257,0.0055905699,0,0.026694,0.02443,-8.57
-0.29,3.7,1.08,0.07,-5.08,-2.37,7.74,-3.92,0.24,0.96,10.76,0.4417,0.4483,0.790643727,0.0062,0.042,0.0627,0.0317,0.0055949443,0.0005166667,0.0075757576,0.0081,0.0146,0.0055672847,0,-0.03284,-0.037272,-0.15
2.44,-7.83,0.19,0.86,-2.22,-1.63,0.67,1.24,-3.14,0.07,10.46,0.4433,0.4567,0.8010747338,0.0015,0.0407,0.0601,0.03,0.0078287967,0.000125,0,0.0126,0.0104,0.0018991874,0,-0.02549,-0.026944,-0.29
-14.81,-21.41,-19.15,-16.71,-17.1,-9.54,-16.09,-12.43,-22.47,-22.06,8.68,0.4458,0.4692,0.9142532652,0.0015,0.0389,0.0613,0.0288,0.0029100957,0.000125,0,0.004,0.0047,0.0115313309,0,-0.119846,-0.121723,-8.27
-0.69,-3.5,-2.75,-1.7,-0.92,0.09,5.05,-1.42,0.54,-1.35,9.1,0.4475,0.4775,0.8703643637,0.0021,0.0396,0.0657,0.031,0.0194411438,0.000175,0.0149253731,-0.0146,-0.0061,0.0048308186,0,-0.000216,-0.003127,-14.81
10.97,26.93,19.39,7.8,16.39,-0.6,10.92,4.84,0.68,6.31,9.54,0.4492,0.4858,0.7820089372,0.0025,0.0386,0.0637,0.0299,0.020713039,0.0002083333,0,0.0037,0.0129,0.0020253052,0,0.086059,0.080682,-0.69
0.41,5.25,4.26,-0.66,-0.26,2.97,1.67,0.1,-9.03,-0.45,9.5,0.45,0.49,0.7737408689,0.0023,0.0381,0.0623,0.0293,0.0208147193,0.0001916667,-0.0074074074,0.0112,0.0101,0.0026089456,0,-0.000681,-0.004415,-1.96
-8.03,-9.67,-7.84,-7.44,-6.75,-2.18,-6.9,-4.7,11.97,-8.31,8.47,0.45,0.73,0.8007541179,0.0015,0.0367,0.062,0.0274,0.0120481999,0.000125,0,0.0041,0.0043,0.0039728617,0,-0.031454,-0.035324,-2.72
6.43,13.77,10.38,14.3,12.59,10.62,3.14,3.3,10.38,10.32,9.28,0.4467,0.7567,0.7373229785,0.0015,0.0366,0.0613,0.0269,0.0190957253,0.000125,0.0072992701,0.0079,0.0112,0.0031621685,0,0.096493,0.095347,-1.86
3.15,-2.56,2.19,-0.48,1.54,5.24,1.43,-1.33,22.72,2.85,9.58,0.4433,0.7833,0.7293926247,0.0015,0.0365,0.0594,0.0276,0.0193000161,0.000125,0,-0.0057,0.0042,0.0028776617,0,0.038135,0.033059,-8.03
2.69,4.21,6.03,-1.3,6.68,3.05,7.86,6.25,10.95,6.59,14.4,0.5333,0.85,0.5404874214,0.002,0.0327,0.0494,0.0273,0.0186275943,0.0001666667,0,0.004,0.004,0.0029079379,0,0.053106,0.046971,-0.77
0.87,0.91,-1.34,-0.08,0.25,2.72,2.19,0.78,2.08,-0.66,14.84,0.55,0.88,0.523178388,0.002,0.0324,0.049,0.0273,0.0208134501,0.0001666667,0.0072992701,0.0021,0.0082,0.0015684951,0,0.032542,0.029509,-10.45
-2.2,-3.91,-0.2,-2.57,1.24,-2.69,-4.06,0.28,-6.62,-4.37,16.26,0.81,1.15,0.4893824051,0.0041,0.0333,0.0484,0.0282,0.0282780631,0.0003416667,0.006993007,0.0053,0.004,0.0035930723,0.0033983845,-0.005699,-0.011686,-0.97
-6.46,-9.83,-6.31,-6.28,-5.18,-6.07,-5.72,-6.9,-6.85,-12.25,15.4,0.84,1.17,0.5049610206,0.0036,0.0328,0.0493,0.0285,0.0312661665,3e-04,0,-0.0018,0.0053,0.0029841706,0.0042059432,-0.053803,-0.057853,-8.78
