"NoDur","Durbl","Manuf","Enrgy","HiTec","Telcm","Shops","Hlth","Utils","Other","Index","D12","E12","b.m","tbl","AAA","BAA","lty","ntis","Rfree","infl","ltr","corpr","svar","csp","CRSP_SPvw","CRSP_SPvwx","YNeg"
-11.96,-18.41,-13.51,-11.44,-12.83,-15.07,-11.82,-7.74,-10.03,-16.08,14.96,0.69,0.89,0.7116343812,0.0038,0.0258,0.031,0.0219,0.0491119446,0.0003166667,0.0099009901,-9e-04,-0.0026,0.0160250152,0.0026064326,-0.104113,-0.106619,-1.68
1.59,-2.69,-2.01,-0.9,-2.4,-4.51,-4.45,-2.37,1.15,-0.45,14.84,0.6967,0.9467,0.7253916642,0.0038,0.026,0.0315,0.0216,0.0485974813,0.0003166667,0.0196078431,0.0074,0.002,0.0061160954,0.0023753839,-0.005636,-0.006817,-7.06
-2.12,-0.6,0.8,1.44,-1.38,-2.88,-1.96,1.18,0.72,-0.55,14.67,0.7033,1.0033,0.7226999647,0.0038,0.0259,0.0317,0.022,0.0480722812,0.0003166667,0.0240384615,-0.0054,-0.0025,0.003914349,0.0020257111,-0.003801,-0.011741,-11.96
1.57,9.99,2.95,1.27,5.4,3.8,0.69,-2.73,0.76,4.03,15.66,0.7133,1.13,0.6800044336,0.0038,0.0257,0.0313,0.0214,0.0315384626,0.0003166667,0,-6e-04,5e-04,0.0021117215,0.0013295838,0.022013,0.020953,-2.12
-3.18,-6.15,-4.4,-1.93,-2.94,-2.86,-2.65,-5.38,-2.56,-4.22,14.45,0.7467,1.3833,0.776366322,0.0038,0.0253,0.0317,0.0216,0.025894307,0.0003166667,0,0.0033,0.002,0.0025450853,0.0032286132,-0.00099,-0.01047,-3.36
6.11,4.88,5.1,9.88,6.06,7.68,8.98,3.07,3.39,4.73,15.21,0.76,1.44,0.7411167513,0.0038,0.0255,0.0321,0.0216,0.0264727428,0.0003166667,0.00456621,0.001,4e-04,0.0019587785,0.0038172362,0.053991,0.050908,-8.69
5.39,8.45,6.43,7.1,7.65,2.23,5.58,3.97,3.85,6.78,15.76,0.77,1.4767,0.7173272191,0.0066,0.0255,0.0318,0.0214,0.0206405097,0.00055,0.0090909091,0.0063,0.002,0.0019774476,0.0032049433,0.039572,0.038369,-3.18
3.06,6.18,3.95,6.78,3.83,-1.68,3.6,3.6,1.06,0.88,15.43,0.8067,1.57,0.722732523,0.0085,0.027,0.0335,0.0217,0.0230185724,0.0007083333,0,-0.0037,-0.0099,0.0008695376,0.0043136224,0.020578,0.019353,-0.79
-2.63,-4.16,-2.54,-4.14,-3.32,3.29,-0.89,-5.61,0.92,2.42,14.69,0.8433,1.6433,0.751888304,0.0097,0.0286,0.0352,0.0243,0.0277653867,0.0008083333,0.0128205128,0.002,0.0024,0.001048864,0.0043871624,-0.037743,-0.038905,-2.76
6.17,10.56,11.16,12.24,12.37,9.35,6.54,6.51,7.03,10.87,15.08,0.85,1.71,0.8414221219,0.01,0.0283,0.0353,0.0241,0.0271870255,0.0008333333,-0.0042553191,0.0034,0.0115,0.0020820213,0.0058085148,0.08144,0.077022,-2.63
2.48,1.8,2.69,13.77,2.43,3.4,5.57,1.52,2.51,4.85,15.48,0.85,1.76,0.8259930198,0.01,0.0278,0.0347,0.0239,0.0274539336,0.0008333333,0.0170940171,0.0045,0.0038,0.0005519692,0.0041501792,0.030821,0.028537,-6.59
-0.03,-0.55,-0.11,-1.65,0.11,-2.15,0.27,-1.91,-0.36,0.04,15.97,0.8633,2,0.8205382202,0.0106,0.0284,0.0344,0.0242,0.0192268027,0.0008833333,0.0040983607,1e-04,0.0055,0.0011851393,0.0028878628,0.015539,0.008123,-2.47
-4.21,-4.99,-3.93,-6.4,-4.17,-5.59,-3.5,-3.42,-1.91,-5.24,15.49,0.87,2.07,0.8362310712,0.0109,0.0284,0.0345,0.0242,0.0191280822,0.0009083333,0,0.0014,0.0024,0.0023955016,0.0030531024,-0.027016,-0.031159,-2.85
3,7.25,5.82,7.73,5.55,4.42,3.7,5.13,4.94,6.03,16.54,0.89,2.1433,0.7919056724,0.0112,0.0284,0.035,0.0243,0.018133741,0.0009333333,-0.0040816327,7e-04,0.0024,0.0008275633,0.0021893158,0.070041,0.067023,-0.03
-8.64,-14.26,-11.12,-13.32,-10.32,-10.36,-8.36,-7.32,-9.74,-11.58,14.75,0.91,2.2167,0.870911215,0.0114,0.0284,0.0353,0.0239,0.0177915373,0.00095,-0.0081967213,0.0076,0.0085,0.0061589031,0.0023768242,-0.098332,-0.109939,-4.21
4.07,1.15,1.33,-3.88,-2.27,4.51,3.26,4.85,4.51,2.02,15.22,0.9467,2.32,0.8324028584,0.0117,0.0271,0.0346,0.0233,0.0132976714,0.000975,-0.0041493776,0.0082,0.0038,0.0013129862,0.0017767354,0.002676,0.001377,-8.64
-3.7,-6.35,-4.13,-5.41,-6.86,-6.76,-3.29,-2.45,0.45,-4.21,14.62,0.9633,2.35,0.8615509072,0.0117,0.0271,0.0345,0.0231,0.0172190437,0.000975,-0.0083333333,0.0049,0.0038,0.0014096786,0.0021699988,-0.031639,-0.041472,-0.89
-2.43,-6.82,-4.79,-1.56,-5.28,-7.73,-0.91,0.26,0.75,-1.75,14.74,0.9933,2.3867,0.9174997127,0.0117,0.027,0.0345,0.0227,0.0152887455,0.000975,0.0042016807,0.0011,0.0023,0.0004992706,0.0036580641,-0.018691,-0.021717,-3.7
0.45,-0.93,-1.64,-0.41,-3.55,3.46,2.55,1.04,-0.89,-1.66,14.16,1.02,2.4,0.9538884243,0.0117,0.0271,0.0347,0.0217,0.0168124176,0.000975,0.0042016807,0.0167,0.0084,0.0016978117,0.0040919143,0.001744,-0.003269,-2.43
5.94,9.38,6.77,6.12,7.73,3.87,3.86,5.39,5.22,5.72,15.04,1.0267,2.3967,0.9077989995,0.0102,0.0267,0.0346,0.0216,0.0195114004,0.00085,-0.0083682008,0.0033,0.0099,0.0006408809,0.0036228094,0.062732,0.061657,-2.23
1.82,10.33,6.19,4.09,8.77,19.07,2.75,5.63,0.21,3.94,18.07,1.18,2.4267,0.7964974714,0.0115,0.026,0.0323,0.0214,0.0263975189,0.0009583333,0,0.003,-8e-04,0.0007140107,0.0040222115,0.045887,0.044493,-0.68
3.24,3.74,4.33,9.24,-0.05,-2.72,2.53,1.45,1.25,1.78,18.78,1.19,2.4833,0.7613463432,0.0116,0.0261,0.0325,0.0213,0.0285722636,0.0009666667,0.0042372881,0.0033,-8e-04,0.000641263,0.0038032122,0.046902,0.03759,-0.55
4.19,7.72,5.74,5.72,6.82,7.9,4.41,4.05,4.03,3.25,18.42,1.2867,2.66,0.7843408494,0.012,0.0261,0.0323,0.0214,0.0295508723,0.001,0.0082987552,0.0014,0.0038,0.0010756051,0.0044526781,0.048063,0.031526,-6.73
6.8,10.05,8.74,10.35,5.25,2.26,4.73,6.3,3.86,13.95,20.41,1.47,2.84,0.7225384419,0.0134,0.0267,0.032,0.0224,0.0313582559,0.0011166667,0.012145749,0.0016,0.0023,0.0024895409,0.0056625153,0.055425,0.051025,-0.17
-1.31,-3.8,-2.79,-3.65,-2.71,-5.98,-1.93,-0.23,0.74,-3.88,21.52,1.5467,2.7567,0.7778890447,0.0155,0.0289,0.034,0.0254,0.0306750269,0.0012916667,0.003875969,-0.0069,-0.0015,0.00140742,0.0039686672,-0.029979,-0.040917,-3.96
2.63,4.31,8.78,9.41,4.91,7.4,2.68,10.8,5.02,6.86,22.4,1.5467,2.65,0.7531218491,0.0156,0.0294,0.0353,0.0252,0.0325985964,0.0013,0,0.0138,0.0205,0.0014082079,0.0037154163,0.070935,0.070014,-1.31
3.16,6.51,5.74,5.44,6.18,6.56,4.21,-0.63,2.89,4.56,23.28,1.5333,2.58,0.7185938945,0.0162,0.0288,0.035,0.0246,0.0303211996,0.00135,0,0.0099,0.0114,0.0005817795,0.0039216119,0.05022,0.038396,-4.57
0.54,1.72,2.12,1.71,2.93,0.58,-0.59,3.19,2.89,1,23.77,1.41,2.44,0.7213163466,0.0173,0.0301,0.0361,0.0269,0.0361507878,0.0014416667,0.0037878788,-0.0061,0.0058,0.0004270364,0.0041468933,0.041815,0.038467,-2.19
0.4,0.3,1.59,6.77,0.73,2,0.48,2.52,3.21,2.1,24.14,1.4133,2.4267,0.7174258377,0.0157,0.0298,0.0359,0.0268,0.0351506982,0.0013083333,0,0.0028,0.0199,0.0005384211,0.0035154761,0.017768,0.016303,-0.7
-3.55,-4.42,-6.04,-7.58,-2.94,-3.59,-2.54,-4.83,-1.72,-3.91,23.32,1.43,2.38,0.7863990995,0.0157,0.0293,0.035,0.0254,0.0332314494,0.0013083333,0.0038022814,0.0171,-4e-04,0.0008078353,0.0038390162,-0.041423,-0.043268,-1.54
1.89,2.09,3.48,4.35,4.08,2.18,3.05,0.95,1.67,4.14,24.96,1.45,2.34,0.7387150879,0.017,0.0294,0.035,0.0259,0.0277312703,0.0014166667,0.0037878788,3e-04,0.0016,0.0003252706,0.0044307208,0.047832,0.045795,-3.55
4.92,5.79,6.65,2.42,6.64,5.77,3.64,5.39,5.01,6.19,25.66,1.4233,2.3867,0.7142353522,0.0185,0.0298,0.0353,0.0272,0.0265501524,0.0015416667,0,-0.0015,0.0108,0.0004590891,0.0035423516,0.061382,0.048273,-2.32
2.2,1.78,1.9,4.82,2.91,0.76,0.73,-0.26,1.86,3.6,26.57,1.41,2.4,0.6940733128,0.0209,0.0297,0.0351,0.0279,0.0265347164,0.0017416667,0,-0.0086,-0.0091,0.0002677175,0.0034459187,0.038215,0.035725,-1.87
0.73,-0.6,0.54,1.44,-0.2,0.51,0.88,0.65,-0.33,1.46,24.54,1.4167,2.4833,0.78375202,0.0216,0.0334,0.0378,0.0314,0.027225579,0.0018,0.0037593985,-0.0148,-0.003,0.0005931666,0.0028534772,0.007401,-0.00273,-1
-3.04,-5.27,-3.54,-1.48,-2.98,1.78,-3.04,-3.13,-2.85,-3.04,24.14,1.42,2.51,0.795496906,0.0211,0.034,0.0386,0.0301,0.0274618998,0.0017583333,0.0037453184,0.0223,0.0109,0.0011056921,0.0028537844,-0.014266,-0.016183,-0.84
-4.23,-6.42,-5.87,-7.58,-6.57,-2.46,-2.71,-1.86,-0.21,-7.07,23.32,1.42,2.5367,0.8169359161,0.0204,0.0324,0.0385,0.0303,0.0280870247,0.0017,0.0037313433,-8e-04,-0.0085,0.0006814738,0.0024851686,-0.050101,-0.060097,-3.04
1.37,6.61,4.99,4.23,3.97,2.72,0.77,2.7,4.68,3.26,24.54,1.43,2.5367,0.7737210398,0.0138,0.0316,0.0382,0.0281,0.0246952319,0.00115,0.0037174721,0.0074,0.0227,0.0005728518,0.0026167199,0.051046,0.049806,-4.23
0.55,1.94,2.77,2.12,1.03,3.52,0.63,6.31,2.91,2.75,24.76,1.44,2.5233,0.7584319579,0.0144,0.0311,0.0375,0.0286,0.0257980017,0.0012,-0.0037037037,-0.0049,-0.0073,0.0003764983,0.0028678282,0.023763,0.009879,-1.56
0.7,0.26,1.53,1.97,1.88,3.37,0.16,1.34,2.13,1.73,26.15,1.4633,2.5367,0.7245195899,0.0097,0.0295,0.0361,0.0279,0.0225625653,0.0008083333,0,0.024,0.0198,0.0003407126,0.00259655,0.012916,0.002343,-1.82
1.3,0.85,1.62,-2.79,3.78,0.83,1.63,-0.31,1.35,1.35,29.21,1.45,2.62,0.732467844,0.0064,0.029,0.0349,0.0272,0.018357419,0.0005333333,0,0.0163,0.0063,0.0009354285,0.0018383463,0.002467,0.000533,-0.97
-0.62,-1.12,-0.23,-1.46,-0.26,1.61,-2.33,0.28,-3.51,0.88,31.68,1.4933,2.6767,0.6937581644,0.0098,0.0287,0.0346,0.0271,0.0175796112,0.0008166667,0,6e-04,0.004,0.0004991744,0.0029143838,-0.017867,-0.018659,-1.35
6.98,8.98,9.5,9.49,8,13.85,7.04,8,3.88,12.77,35.98,1.54,2.77,0.6041197854,0.0115,0.029,0.0345,0.0272,0.0269928125,0.0009583333,-0.0037313433,0.0064,0.0017,0.000882281,0.0028454745,0.054288,0.052361,-0.62
-0.52,0.35,0.59,0.6,0.94,1.3,1.63,1.05,-0.06,2.09,37.91,1.5667,3.1333,0.5860754131,0.0145,0.0304,0.035,0.0287,0.0254187153,0.0012083333,0,0.0073,-0.0018,0.0007450734,0.0014133625,0.006433,-0.001081,-0.29
1.92,3.07,0.17,-0.58,-2.76,4.31,1.98,1.02,3.31,-0.94,43.52,1.5867,3.2933,0.5345068155,0.016,0.0306,0.0352,0.03,0.0247604416,0.0013333333,0.0037453184,-0.0102,-0.0041,0.0020821185,0.0006412637,0.057646,0.057068,-0.52
-0.52,-3.21,-1.64,-1.6,-3.14,-4.52,-1.54,0.94,-1.2,-2.44,42.34,1.6267,3.5,0.5474091499,0.0223,0.031,0.0359,0.0292,0.0251006866,0.0018583333,0,0.0144,0.0078,0.0026798958,0.0006324088,-0.030468,-0.031,-1.19
2.06,5.24,7.38,9.41,6.48,3.76,2.25,6.97,3.07,6.44,45.51,1.6333,3.56,0.5152505897,0.0224,0.031,0.0358,0.0295,0.0260337027,0.0018666667,0,-0.0045,-0.003,0.0019291618,0.0003727678,0.087825,0.075124,-0.94
1.56,0.7,3.05,4.4,3.64,1.25,2.21,7.3,0.26,1.27,45.48,1.64,3.62,0.5098280098,0.0254,0.0315,0.0362,0.0295,0.0252445499,0.0021166667,-0.0037174721,0.0037,0.0063,0.0004747032,0.0002437992,-0.000309,-0.001685,-0.52
0.43,2.51,3.02,3.55,2.64,2.59,1.46,2.26,2.25,1.29,46.97,1.8,3.6,0.5515645927,0.0249,0.0326,0.0376,0.0299,0.0256715221,0.002075,0.0074074074,0.0027,-0.0018,0.0010370449,0.0009399364,0.03891,0.037762,-0.1
1.41,3.08,5.88,5.37,3.8,3.68,1.71,4.34,4.83,2.75,49.39,1.8133,3.5533,0.5249029567,0.0231,0.0328,0.038,0.0313,0.0247536062,0.001925,0.0073529412,-0.0209,-0.0093,0.0004955763,0.0010155226,0.051427,0.050619,-3.43
1.38,0.53,0.78,0.97,0.22,-4.07,1.17,0.66,1.04,0.06,45.58,1.8067,3.4433,0.5664270084,0.029,0.0359,0.0417,0.0329,0.0294573217,0.0024166667,0.003649635,-0.0054,-0.0105,0.0016420105,0.0012720931,0.006619,0.005298,-0.51
0.69,-0.83,0.59,9.16,-0.44,-1.1,-0.73,-0.92,0.2,-0.62,45.08,1.7733,3.4267,0.5748974153,0.0299,0.0369,0.0424,0.0333,0.0270884577,0.0024916667,0,-0.0057,-0.0126,0.001731517,0.0015415947,-0.001921,-0.011161,-2.66
2.07,2.86,1.98,5.44,4.85,4.12,1.74,4.6,2.26,2.87,45.74,1.73,3.4067,0.5760983898,0.0307,0.0367,0.0444,0.0345,0.0274205931,0.0025583333,0.0035971223,-0.0222,-0.0066,0.0003024601,0.0021421117,0.046538,0.045215,-1.6
-3.22,-4.36,-6.19,-6.4,-7.43,-4.22,-2.36,-2.37,-2.33,-5.7,45.22,1.75,3.4533,0.5880045422,0.0337,0.041,0.0482,0.0367,0.0358539895,0.0028083333,0,2e-04,-9e-04,0.0021472482,0.0013495821,-0.048998,-0.054178,-0.31
-5.13,-7.71,-6.99,-8.8,-8.59,-7.38,-5.53,-1.6,-1.06,-8.8,41.06,1.77,3.4367,0.6457464176,0.0358,0.041,0.0499,0.0369,0.0384097165,0.0029833333,0,-0.005,0.0023,0.0049360114,0.001123013,-0.038834,-0.040549,-3.22
2.27,-1.04,2.05,4.66,5.96,-0.11,1.49,7.41,4.27,-0.63,41.72,1.78,3.4033,0.6330717763,0.0331,0.0408,0.0509,0.034,0.0409898136,0.0027583333,0.0035335689,0.0533,0.0311,0.0034900785,0.0008040855,0.023703,0.016483,-3.04
-2.1,-7.83,-6.9,-9.77,-7.07,-3.71,-3.1,-0.6,2.96,-5.48,39.99,1.79,3.37,0.6536757786,0.0304,0.0381,0.0503,0.0323,0.034873147,0.0025333333,0,0.0307,0.0685,0.0012514024,0.0006679271,-0.037422,-0.041021,-5.13
0.71,-3.42,-2.19,-5.17,-2.26,-2.92,1.08,4.28,1.34,-1.07,40.84,1.7767,3.2167,0.6473904346,0.0153,0.0359,0.0466,0.0325,0.0277510802,0.001275,0,0.01,-8e-04,0.0007362477,0.0006303059,-0.014109,-0.020288,-2.1
4.41,2.61,2.85,5.17,1.83,4.26,3.98,3.79,4.07,0.85,60.51,1.7967,3.41,0.4608226648,0.032,0.0447,0.0508,0.0417,0.0271413721,0.0026666667,0.0034364261,0.006,0.0089,0.000487796,0.0015859289,0.034504,0.033514,-0.07
1.32,5.17,1.57,2.28,7.19,5.74,1.25,5.48,1.3,1.22,57.52,1.8167,3.4167,0.4809774204,0.0405,0.0457,0.0528,0.0421,0.0310201805,0.003375,0.0034129693,0.015,0.0165,0.0006181833,0.0013316314,0.012574,0.011436,-0.56
-0.17,1.92,2.54,-0.3,5.81,0.13,2.28,4.8,0.64,-0.48,58.28,1.8233,3.4033,0.4717982949,0.0415,0.0456,0.0526,0.0432,0.0297223804,0.0034583333,0,-0.0119,0.0135,0.0004996927,0.0015158997,0.018486,0.013114,-2.06
-2.42,-4.65,-4.79,-4.73,-8.19,-4.72,-3.27,-4.71,-1.63,-2.6,55.61,1.8667,3.39,0.499502104,0.0435,0.0461,0.0534,0.0441,0.0221161675,0.003625,-0.0034013605,0.0112,0.0107,0.0009194175,0.0008885522,-0.069933,-0.070835,-0.17
-2.88,-5.94,-3.43,-1.32,-2.49,-1.29,-1.52,0.15,1.94,-2.7,55.34,1.94,3.39,0.549798083,0.0331,0.0449,0.0525,0.0411,0.02559341,0.0027583333,0,0.0282,0.0191,0.0009691465,0.0003609823,-0.012566,-0.015238,-2.42
2.12,-0.23,2.15,-2.67,12.01,5.79,1.58,11.25,1.74,0.06,55.83,1.9467,3.3033,0.5419664269,0.0329,0.0446,0.0528,0.0417,0.0244143755,0.0027416667,0,0.0152,-0.0021,0.0004235585,-3.57588e-05,0.033513,0.028312,-2.88
4.52,0.21,0.76,2.64,1.67,-0.24,2.99,3.33,4.61,1.93,56.92,1.95,3.26,0.5291748619,0.0246,0.0445,0.0526,0.0407,0.0242699263,0.00205,0.0033898305,0.0173,0.0141,0.0004989479,-4.2243e-06,0.021802,0.019133,-0.68
-4.97,-5.34,-7.18,-1.52,-10.65,-6.61,-4.75,-8.55,-4,-5.73,53.52,1.95,3.27,0.5843417106,0.0248,0.0425,0.0501,0.0387,0.028312467,0.0020666667,0,0.0075,-0.0063,0.0017716222,-0.0011943574,-0.058713,-0.06092,-0.7
5.83,0.6,4.02,5.97,6.68,3.73,5.92,4.21,3.62,5.35,55.54,1.95,3.27,0.5676300191,0.0237,0.0431,0.0508,0.0399,0.026034213,0.001975,0,-0.0066,-0.007,0.000668674,-0.0009552783,0.046081,0.039977,-4.97
3.61,1.65,4.26,5.56,3.33,5.74,2.27,6.04,5.54,2.64,58.11,1.95,3.27,0.5504229651,0.0225,0.0435,0.051,0.038,0.0227613608,0.001875,0,0.0279,0.0104,0.0004503055,-0.0013625136,0.048839,0.046597,-0.51
-2.95,-5.37,-4.99,-2.76,-5.47,-7.45,-2.34,-3.27,-2.6,-4.47,64.64,1.94,3.03,0.5408211006,0.0233,0.0433,0.0503,0.0404,0.0224821258,0.0019416667,0,-0.0075,-0.008,0.0005489074,-0.0011481273,-0.026673,-0.028725,-0.41
3.17,0.98,1.1,0.35,-0.7,1.93,3.49,4.24,4.04,3.33,68.07,1.9533,3.0433,0.5137928161,0.0239,0.0445,0.0511,0.041,0.0254259102,0.0019916667,-0.0033333333,-0.0038,-0.0018,0.0004062151,-0.0019986084,0.02473,0.019511,-2.95
6.34,5.97,3.27,6.09,6.88,-0.31,6.71,3.06,3.74,4.7,71.32,2,3.1433,0.5126108647,0.0248,0.0439,0.0511,0.0404,0.0255706129,0.0020666667,0,-0.002,0.0028,0.0003603902,-0.0020734466,0.045226,0.039324,-1.57
1.29,2.47,1.5,5.02,-0.09,3.35,-0.06,2.1,2.08,1.64,69.96,2.0333,3.31,0.522420733,0.0273,0.0442,0.0507,0.0414,0.0287833809,0.002275,0.0033333333,0.0103,0.0052,0.0002650967,-0.0022097278,0.020592,0.016147,-1.21
-0.71,1.03,-0.85,-2.26,-1.32,-3.25,-0.82,0.33,2.44,-1.66,69.55,2.04,3.37,0.5457245916,0.0272,0.0439,0.0504,0.0398,0.0240753041,0.0022666667,0,0.0253,0.0151,0.0002794921,-0.0028841357,-0.003842,-0.005137,-2.26
-9.59,-9.23,-9.23,-8.15,-13.32,-9.41,-9.27,-12.47,-10.31,-9.51,59.63,2.0533,3.4367,0.6289943915,0.0269,0.0428,0.05,0.0393,0.0277223552,0.0022416667,0,0.0046,0,0.0109148391,-0.0029059114,-0.079847,-0.085499,-0.71
-7.73,-8.36,-9.02,-5.47,-11.39,-8.8,-9.03,-11.78,-5.02,-8.74,54.75,2.06,3.47,0.6873574686,0.0273,0.0428,0.0502,0.0401,0.0264554418,0.002275,0,-0.0076,-0.0026,0.0061611302,-0.0027952766,-0.080669,-0.082222,-7.21
6.04,8.03,5.61,5.2,9.84,6.76,5.55,5.77,6.82,7.2,58.23,2.0667,3.49,0.6452260298,0.0292,0.0434,0.0505,0.0412,0.0304859039,0.0024333333,0.0033112583,-0.0109,-0.0015,0.0018434903,-0.0025626272,0.065203,0.063969,-9.59
2.59,5.33,2.26,2.72,4.41,5.92,1.51,-3.78,3.14,4.43,59.12,2.0733,3.51,0.6333103516,0.0282,0.0435,0.0506,0.0401,0.0293292013,0.00235,0,0.0187,0.0143,0.0008019468,-0.0027495972,0.021669,0.015803,-7.73
11.37,13.34,14.74,12.94,17.26,13.92,11.25,19.63,7.41,17.33,62.26,2.1133,3.6233,0.5941783459,0.0283,0.0425,0.0496,0.0396,0.0248103304,0.0023583333,0,0.0021,0.0062,0.00127482,-0.002819534,0.108268,0.100528,-6.2
0.53,-0.18,-2.33,1.15,-2.93,-0.78,-2.48,-0.25,3.37,-0.66,63.1,2.13,3.67,0.5916270511,0.0287,0.0424,0.0492,0.0395,0.0199678967,0.0023916667,0,0.0035,0.0023,0.0005438855,-0.0027965748,0.015534,0.01404,-2.74
3.03,4.46,3.63,5.06,3.62,5.63,4.43,7.47,2.39,4.46,69.8,2.1667,3.7533,0.5587292741,0.029,0.0421,0.0487,0.0405,0.0151992706,0.0024166667,0,-0.0012,-0.0051,0.000322164,-0.0026662205,0.04907,0.048177,-1.66
3.56,4.18,4.13,7.32,2.91,7.57,3.49,7.28,3.93,4.36,72.5,2.2067,3.92,0.5498272363,0.0332,0.0429,0.0483,0.0408,0.0095196222,0.0027666667,0,0.0021,0.0035,0.0003269156,-0.0019554685,0.053466,0.048496,-1.35
-0.75,-2.69,-1.22,0.46,0.37,-2.94,-1.05,-1.33,-1.87,-1.5,71.7,2.21,3.96,0.5472236248,0.0338,0.0431,0.0484,0.041,0.010313262,0.0028166667,0,4e-04,-0.0023,0.0003298881,-0.0015243919,-0.010402,-0.011579,-0.78
-2.01,-2.11,-0.98,0.87,-3,0.14,-3.21,-1.55,-0.97,-1.97,73.23,2.2567,4,0.5342962213,0.0352,0.0433,0.0484,0.0414,0.0060125452,0.0029333333,0,0.0051,0.0015,0.0031101601,-0.0017575761,-0.004487,-0.011085,-0.75
3.27,4.35,3.95,4.59,2.3,2.46,2.69,3.66,1.36,2.91,77.04,2.2967,4.0733,0.5106068709,0.0352,0.0439,0.0483,0.0421,0.0142935238,0.0029333333,0,-0.0014,0.0087,0.0001833388,-0.0017279613,0.027391,0.026373,-2.01
1.9,2.07,2.77,1.19,0.92,3.11,2.25,0.97,1.01,5.14,77.8,2.3133,4.1267,0.5011622966,0.0353,0.0436,0.0483,0.0424,0.0174078735,0.0029416667,0,-0.0011,0.0054,7.17008e-05,-0.0014884159,0.017015,0.012171,-0.31
1.68,2.39,1.85,1.95,0.83,3.15,2.56,2.29,0.81,2.58,84.86,2.46,4.4967,0.4878132588,0.0357,0.0442,0.0481,0.0421,0.0201157102,0.002975,0,0.0043,0.005,0.0001870506,-0.0022257355,0.008745,0.007566,-0.2
4.22,2.76,3.77,1.08,2.98,6.33,3.15,2.05,1.33,3.9,87.43,2.5333,4.6367,0.4713994776,0.0393,0.0441,0.0478,0.0424,0.0148223569,0.003275,0,0.0014,9e-04,0.0003931973,-0.0022017761,0.003746,-0.000853,-0.99
3.62,4.12,4.06,1.58,9.11,6.13,3.53,6.66,1.76,4.35,87.17,2.6433,4.9333,0.4673608778,0.0384,0.0449,0.0488,0.0428,0.0156003306,0.0032,0,-0.0013,-6e-04,0.0001075324,-0.0017357486,0.02756,0.022473,-7.5
-7.8,-11.52,-9.23,-6.59,-14.21,-5.98,-7.47,-7.02,-2.69,-9.26,86.13,2.8133,5.42,0.5127422037,0.0464,0.0498,0.0548,0.0473,0.0159449125,0.0038666667,0,-0.0059,-0.0026,0.0019354915,-0.0004207456,-0.04914,-0.054645,-2.33
-1.61,-1.98,-1.62,-0.82,-2.22,-1.87,-1.96,-1.44,-0.19,-1.77,83.6,2.85,5.4767,0.5349430008,0.048,0.0516,0.0568,0.0482,0.0186405696,0.004,0.0030864198,-0.0037,-0.0098,0.001013784,-0.0010224731,-0.012129,-0.013039,-7.8
-10.64,-10.37,-9.85,-10,-8.68,-9.91,-9.31,-9.49,-7.76,-11.85,77.1,2.87,5.4933,0.5749546556,0.0496,0.0531,0.0583,0.0499,0.0214695363,0.0041333333,0.0061538462,-0.0206,-0.0259,0.0031652555,-0.001167014,-0.07165,-0.077487,-0.93
-1.8,-3.5,-2.4,0.59,-3.99,-1.92,-1.43,-1.84,3.49,-2.27,76.56,2.89,5.51,0.5854924957,0.0537,0.0549,0.0609,0.048,0.0169838677,0.004475,0,0.0332,0.0078,0.0016003282,-0.0017065219,-0.006244,-0.007692,-1.61
-1.18,-4.23,-0.72,0.8,-9.07,5.34,-3.18,2.16,8.67,-2.52,80.2,2.8833,5.5233,0.5616613181,0.0535,0.0541,0.061,0.0467,0.0151835747,0.0044583333,0.006116208,0.0228,0.0261,0.0025467723,-0.0013716259,0.048333,0.047244,-10.64
1.12,1.18,3.39,5.74,12.83,8.07,1.77,7.52,-1.86,7.27,80.45,2.8767,5.5367,0.5726449298,0.0532,0.0535,0.0613,0.048,0.0175491557,0.0044333333,0,-0.0148,-0.002,0.0007744024,-0.0011406594,0.011223,0.003741,-1.8
-1.08,0.5,2.78,1.64,4.39,7.12,0.73,1.94,1.79,0.67,80.33,2.87,5.55,0.5769451056,0.0496,0.0539,0.0618,0.0455,0.0172079259,0.0041333333,0,0.0413,0.0201,0.0006269595,-4.98789e-05,0.000326,-0.001089,-1.18
4.98,5.35,4.17,3.08,5.24,5.88,6.43,2.86,-1.16,4.6,86.78,2.89,5.4833,0.5400478931,0.0456,0.0503,0.0582,0.0465,0.017701209,0.0038,0,-0.0221,-0.0201,0.0004124002,0.0005552564,0.007514,0.00242,-1.08
8.85,10.66,7.98,11.38,5.38,2.13,8.26,5.17,2.69,11.48,94.75,2.9067,5.32,0.5262983279,0.0421,0.0558,0.0626,0.0505,0.0066875347,0.0035083333,0.003003003,0.0068,0.0041,0.0002184416,0.0016540993,0.046454,0.045623,-0.56
6.92,9.43,9,7.84,10.8,2.22,8.22,1.75,2.7,9.19,96.47,2.92,5.33,0.5257924451,0.0497,0.0619,0.0693,0.0556,0.0143610729,0.0041416667,0.0029585799,0.0192,0.0127,0.000270886,0.0029522247,0.027079,0.025857,-1.07
3.45,1.61,0.65,2.33,-3.99,0.38,6.21,-5.26,2.29,6.09,92.24,2.93,5.3667,0.5563023835,0.05,0.0617,0.0684,0.0536,0.0128541544,0.0041666667,0.005899705,0.0328,0.0361,0.0004833462,0.0025043814,-0.041875,-0.043523,-0.02
