-27.38,-34.66,-32.23,-32.07,-37.66,-17.37,-28.87,-31.75,-32.02,-28.12,9.71,0.86,0.7,0.944001656,0.0045,0.0455,0.0807,0.0353,0.030352461,0.000375,-0.006622517,-0.0281,-0.0014,0.023458995,0,-0.287461,-0.291524,-2.14
10.53,13.24,12.38,10.84,13.91,0.98,7.54,13.21,8,4.81,10.53,0.8467,0.67,0.877176109,0.017,0.0499,0.0904,0.0385,0.011253173,0.001416667,-0.006666667,-0.033,-0.0363,0.042501956,0,0.076738,0.072834,-2.27
-7.54,-0.95,-9.36,-7.95,-10.22,-13.82,-8.97,-9.05,-4.52,-13.74,9.5,0.8333,0.64,0.971556408,0.0177,0.0494,0.0893,0.0385,0.003378334,0.001475,-0.013422819,0.0027,-0.0189,0.011434544,0,-0.100909,-0.109396,-27.38
6.46,8.62,6.47,8.92,6.74,-1.22,5.84,0.98,-2.15,15.14,7.89,0.7933,0.5933,1.191378184,0.0248,0.052,0.0913,0.039,-0.011577435,0.002066667,-0.020547945,0.0034,-0.0052,0.017376785,0,-0.018803,-0.021067,-7.54
2.96,2.21,1.29,4.42,3.54,5.31,1.21,-1.71,5.62,1.56,8.29,0.7667,0.5767,1.119842829,0.0242,0.0523,0.0887,0.0367,-0.015727669,0.002016667,-0.013986014,0.0413,-0.0238,0.026715251,0,0.053581,0.045233,-13.2
-16.27,-22.91,-20.44,-9.81,-19.63,-18.44,-22.22,-26.3,-29.55,-24.64,4.47,0.6867,0.5267,1.942333482,0.0031,0.0536,0.11,0.0349,-0.034051045,0.000258333,-0.014388489,-0.0188,0.0107,0.023183792,0,-0.232123,-0.240123,-7.47
7.75,4.12,5.13,2.21,6.82,-10.8,2.37,5.88,-0.29,1.34,4.43,0.66,0.51,2.028478058,0.0034,0.0541,0.11,0.0347,-0.040688628,0.000283333,-0.00729927,0.0065,-9.00E-04,0.034302583,0,0.002768,-0.006507,-15.92
36.22,37.56,46.85,47.72,46.06,30.19,24.2,30.86,36.79,56.12,6.1,0.6333,0.4933,1.612544071,0.0022,0.0526,0.1079,0.032,-0.029176509,0.000183333,0,0.0481,0.0043,0.020110579,0,0.391838,0.390006,-16.27
-7.61,-7.44,-4.51,-4.45,-8.74,-1.24,-6.82,-3.77,-6.58,-10.25,6.55,0.5267,0.4267,1.542147294,1.00E-04,0.0463,0.0824,0.0322,-0.003321391,8.33E-06,-0.007518797,0.0032,0.0073,0.023316603,0,-0.052228,-0.058702,-4.98
-2.19,-5.77,-3.53,-4.94,-2.34,-0.48,-5.65,-0.92,3.05,-4.19,6.89,0.5,0.41,1.442084301,4.00E-04,0.0459,0.0842,0.0315,-0.005031571,3.33E-05,-0.007575758,0.0131,0.0139,0.010223099,0,0.061569,0.053749,-13.58
2.81,2.61,4.37,-1.49,5.86,-0.55,0.53,-1.45,-5.68,7.7,6.94,0.495,0.4125,1.426929392,7.00E-04,0.0444,0.0801,0.0308,-0.006489814,5.83E-05,-0.015267176,0.0148,0.0547,0.005916609,0,0.013938,0.012575,-7.61
-7.95,-25.58,-17.09,-9.45,-16.57,-12.29,-17.35,-11.27,-21.74,-16.37,5.66,0.49,0.415,1.690990465,1.00E-04,0.0448,0.0837,0.0325,-0.005816755,8.33E-06,-0.015503876,-0.0258,-0.0523,0.015666928,0,-0.179558,-0.186035,-2.19
53.81,63.74,59.84,39.08,54.68,34.49,43.53,23.01,35.11,41.66,8.32,0.48,0.42,1.119015048,0.0045,0.0478,0.0912,0.0325,-0.006368252,0.000375,0,-0.0032,-0.0095,0.029151226,0,0.414312,0.412291,-7.95
-13.86,-16.98,-14.43,-9.18,-14.81,-8.52,-15.37,-7.25,-23.04,-17.91,9.83,0.455,0.4325,0.867996604,4.00E-04,0.0436,0.0727,0.0308,-0.000458363,3.33E-05,0,0.0023,-0.0014,0.014249909,0,-0.118045,-0.121112,-9.05
