All;Recession
-0.783433023;
0.42675543;
-0.864499801;
-0.13810021;
0.998855874;
0.999998748;
-0.971571401;
0.537654914;
0.999991202;
0.99999397;
0.999999061;
-0.552525465;
-1.67116975;
-0.017317008;
-0.051859531;
-0.042491084;
0.147532027;
0.639758874;
0.319951066;
-0.884173532;
-0.225600153;
-0.143220345;
-0.172533696;
-0.124474809;
-0.200796695;
0.163183137;
0.644400583;
0.999318303;
0.046711834;
0.679230502;
-0.012420696;
0.728789561;
0.113459473;
0.056609904;
0.942362442;
0.97381668;
-0.197716388;
0.814802329;
0.186063077;
0.529643283;
-0.4687232;
0.090099039;
1.000001396;
0.999999281;
0.999983809;
0.999996983;
1.0000007;
-1.17678308;
-0.052089745;
-0.710076621;
-0.116104642;
0.985458807;
0.380638484;
-2.149518326;
0.291937311;
0.121135416;
0.999952217;
1.000001081;
-0.292828079;
0.99999629;
0.999980977;
1.000000202;
-0.607313011;
-0.600944881;
0.993306488;
0.784708412;
0.024072937;
0.185088333;
-0.193289753;
-0.063883144;
0.365952029;
0.439618088;
0.999995949;
0.99705074;
-0.469336109;
-0.569876621;
0.830203019;
0.91690534;
0.861335957;
0.517702651;
-0.325210616;
0.17590544;
0.252492033;
-0.004602086;
0.362050334;
-0.044983696;
0.93896108;
-0.019828989;
0.498049875;
-0.012845417;
-0.108755522;
-0.483540524;
0.534707446;
0.077465329;
-0.611103492;
-0.095404708;
0.792030348;
0.305140924;
0.102181864;
0.839221122;
-0.072921582;
0.881696579;
-0.589949058;
0.62253483;
0.325642768;
-0.39131492;
-0.233911762;
0.629891019;
0.631570724;
-0.284907631;
0.926330974;
-0.215134682;
-0.362423512;
0.428588595;
-0.299205988;
0.315208854;
0.254684961;
-0.146588047;
-0.033120995;
-0.020034198;
0.495010902;
-0.015145913;
-0.10892328;
-0.563582614;
0.119070671;
0.46362941;
0.217758144;
0.970771156;
-0.406983375;
0.422948523;
-0.667215618;
0.522705691;
0.996968757;
0.302863852;
-0.150487779;
0.213003071;
-0.794055234;
0.095067128;
0.34403313;
-0.950172877;
0.577099519;
0.298967912;
0.247710648;
0.425495793;
0.999096285;
0.999855499;
0.33181557;
0.11943243;
-0.058353157;
0.845450098;
0.605122306;
-0.3548057;
0.545257783;
0.113252374;
0.838181926;
0.870375029;
-0.177622262;
0.479401343;
0.999991924;
0.431316309;
0.328305814;
0.71744897;
0.948546881;
0.486393074;
0.551695649;
0.052725988;
0.809654671;
-0.257842709;
0.750430607;
0.11648719;
0.797364836;
-0.456899744;
-0.264474351;
-0.505735816;
0.949548589;
-0.220670655;
0.99999771;
-0.347441284;
-0.385889972;
0.867069577;
0.59438717;
0.011681437;
-0.148560098;
-0.218578082;
-0.072167869;
0.711777666;
0.202585905;
-0.65352961;
0.551513465;
-0.355750056;
0.027165491;
-0.298582368;
-0.096350693;
-0.027528335;
-0.304438076;
0.771598968;
0.517234264;
0.756082796;
0.518856006;
0.04656493;
0.761575288;
-0.050156931;
0.077258747;
0.33018004;
-0.188010609;
0.933502652;
-0.974190415;
0.980372331;
0.965707251;
0.171012923;
0.005856498;
-0.07971877;
0.444221481;
-0.046614937;
-0.667201349;
-0.195991633;
-0.524950798;
0.987281168;
0.999994474;
0.955375152;
-0.167592119;
0.296537197;
0.280820036;
-0.222637785;
-0.772981131;
0.567893494;
-0.004275747;
0.151348011;
0.999770583;
-0.506464341;
0.527929865;
0.992919933;
-0.585048904;
0.052599326;
0.851895611;
-0.391745151;
-0.514350684;
-0.503215136;
0.278722558;
-0.91363956;
0.218977101;
0.099676105;
0.999992717;
0.312935867;
0.100810428;
0.999984565;
-0.383473306;
-0.919561264;
0.997165153;
-0.863424395;
0.083148691;
0.479452389;
0.78781038;
0.953879238;
0.527505181;
-0.821221062;
-0.109943555;
0.396635281;
0.250493539;
-0.084549957;
-0.006595747;
0.088860213;
0.992545756;
-0.494602286;
-0.580697284;
-0.206984261;
-0.184391849;
0.543050443;
0.10613839;
0.136345632;
