0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,-0.008648674400863143,-0.3853220488504161,-0.3828903224775695,0.004567548341090855,0.12235586880844973,-0.20019051893574802,-1.5728358819821167,-0.2236496715662124,-2.961119742074236,-0.28558667806992855,-6.243400726590441,-0.10760079749646989,-0.8489353852394141,-0.03343052711829975,-2.350755224274083,-1.7627263033312799,-2.320425726470095,-0.10092663797604962,-0.6258169787749783,-2.857992767388276,-0.19792696286190603,-0.7853573202876742,-1.9489966490836195,-3.584777856967446,-0.2918129842906252,-0.0019446945218446476,-0.27006986452642745,-0.6601267054020106,-0.3321356309742738,-0.1826801097183537,-0.20890199153434708,-0.6114153063967653,-0.057425000812875604,-0.9934319925230721,-1.006480343339136,-0.5874969986016165,-0.4279718787479927,-1.8383051004995257,-0.8994313152924918,-0.7896080969030737,-0.013772777694826877,0.02604743647220753,-0.48145556053451943,-5.913850234577447,-0.027566018305081652,-0.17926083063736376,-1.4555175979268395,-1.4046387301753933,-1.0658671222079663,0.04005280138028389,-6.12755020167607,-0.1322816177158137,-0.9718095336357253,-2.109653994455933,-11.73918681028286,-14.417008418480785,-0.833539988309661,-0.08496412377623908,-0.8043848137124723,-1.332652477700305,0.08951359099089873,-1.841031792032485,0.2997532620075015,0.1235834703855031,0.096740038310689,-0.31596870405144917,-0.7138300223712415,-36.994396336764844,-4.11181203950282,-0.48516111168414877,-0.0660329682120393,-0.3301494730239223,-0.18174991172255295,0.03957108498285711,-2.888342405030291,-2.829495263197209,-0.8111048239284331,-2.790659679678538,-1.8283762791195444,-0.8274090588046086,-1.2349052925013213,-0.37438469109095185,-0.10726406703030755,-0.3362581816932604,-0.4676167443671453,-0.11886386655859527,-0.30100262490825647,-1.4369458467641598,-0.9763032060757066,-0.031862397494445416,0.11777036724514711,0.008046600238939439,0.1530414485773871,-0.3966541925451714,-1.8859921027674469,-0.09512121466716406,-0.4585750616835791,-0.49034575785957646,0.03713719634152457,-0.1474793335974096
1.033,-0.01195353003769517,-0.3662847697452609,-0.37892892156034574,0.00806342713299446,0.10115594771707193,-0.1915972940176569,-1.56703104347609,-0.1598769171520622,-2.947550730629151,-0.28290138853032243,-6.166671143957595,-0.09890458939883162,-0.8398743040793797,-0.030241633220947417,-2.294540761557199,-1.715342594638134,-2.089328013226192,-0.10092663781237565,-0.6026554109201265,-2.9142797493077888,-0.1971079913709639,-0.8372648488800976,-1.9911895955259178,-3.611083719939831,-0.28183015985556614,-0.0020667920861894284,-0.23846046058216563,-0.6381342972083959,-0.3303351377796091,-0.1876170507117676,-0.20890159713566758,-0.6100372295655943,-0.051979269627418834,-0.9768020223473162,-0.9926408610001072,-0.5874927968989512,-0.44336227124270766,-1.8383089192042013,-0.9580506648612499,-0.757220906352303,-0.013772810098269472,0.012533505111371301,-0.48145559963507156,-5.933212364699476,-0.027565991452109806,-0.18395972356043644,-1.409957480478198,-1.399150836537236,-1.046867778519355,0.036130493936687436,-5.95636179337206,-0.12190070210970183,-0.964325805156411,-2.082428904770284,-11.211250635422315,-14.408828507538596,-0.8106644188569201,-0.08348174302852263,-0.8987515005830153,-1.266849660790177,0.07816520695487528,-1.841031575126867,0.2963806661054602,0.12449692607372842,0.11060515666466697,-0.3075679868443577,-0.6916856265786404,-37.61459447680806,-4.115325572341929,-0.478646160108529,-0.06678991840075499,-0.3215020257149044,-0.16815162777243553,0.09567071905466162,-2.8822957344464597,-2.794470376703255,-0.8176698653584376,-2.6666365164068475,-1.8306536324368077,-0.7767039455296807,-1.23490507196639,-0.37438798262304296,-0.10797093236745181,-0.34276388061777974,-0.49208037326252785,-0.11347091202741,-0.28872553642151133,-1.438156295252322,-0.9762591588683691,-0.038731980090509266,0.10267190529336812,0.02785199188155063,0.13309647475644892,-0.3876267182341486,-1.8749928404468919,-0.08689981121304258,-0.45857614012238623,-0.48255794771450145,0.039237008490722314,-0.1164002835682203
1.067,-0.015389606549604418,-0.3468273040762395,-0.37856321665805814,0.011863324163353783,0.07491821417760103,-0.18329026110627544,-1.5611577572031212,-0.16589476209768605,-2.9323830188893423,-0.28040339997680075,-6.085918042511703,-0.09024526171232883,-0.8306443971701674,-0.027132769172773408,-2.2376093260324437,-1.6650328593274852,-1.8703990068151728,-0.10092664663679063,-0.5801115878837211,-3.0633262935452343,-0.19630465181248713,-0.8921992303452861,-2.035303233512917,-3.6211476892746974,-0.2676559967899541,-0.0020668896506328416,-0.20760951202912792,-0.6157340740776867,-0.329582873953151,-0.1930946487588805,-0.208901573740506,-0.6087387265509194,-0.046402797497468784,-0.9604357576859035,-0.9784973148534515,-0.5874925973695242,-0.45939365726731274,-1.8383066444414955,-1.0239111801407237,-0.7241098232828567,-0.013772804761161161,-0.002826397539258174,-0.4814555724116474,-5.749169626191614,-0.027565992751158452,-0.18866271283238278,-1.3646179771332765,-1.3954276213484271,-1.0279938564282949,0.031981747726049115,-5.781403327985027,-0.11147694136528208,-0.9565765218937186,-2.055537532115681,-11.06681932801209,-14.413620757658062,-0.7877124580771704,-0.08196021655641061,-1.0112591133647428,-1.2220961911197357,0.06527383859486935,-1.8410318805751906,0.2928512872725265,0.12570733992465744,0.12298960755323951,-0.2998475675423369,-0.6774965863362881,-38.29197956439531,-4.119864447809546,-0.4736279971794193,-0.06774337271519393,-0.31295235058642934,-0.158378435892927,0.12002796883981293,-2.8762086447087354,-2.7583820040977294,-0.823917298980603,-2.5443237673468926,-1.8331288995340418,-0.724987971185318,-1.2349165235650195,-0.37438854676290156,-0.10890228041730787,-0.34983659565207814,-0.5236054163631612,-0.10815324619775546,-0.2764525472500039,-1.43148656587441,-0.976261493877342,-0.045966822475652425,0.08686426664800051,0.047595387140428436,0.11164480814752242,-0.3785869809044955,-1.8602139526652635,-0.07859041993367777,-0.4585753135500845,-0.47471348864452767,0.041117907809775534,-0.08170518035081598
1.102,-0.018948897482980342,-0.32317858921397447,-0.37841944253795745,0.015949145873971227,0.043356832239948795,-0.1752786743009136,-1.5553384465003823,-0.17435128185579063,-2.9179701058652734,-0.27876900014311823,-6.006430188108552,-0.0817785298777185,-0.8215154270530243,-0.02376228131101943,-2.1827715479392933,-1.6125135016482988,-1.7744086118672913,-0.10092663559785353,-0.5569390793620226,-3.229720678278224,-0.19551847091686603,-0.9447289288279148,-2.078732253904614,-3.601752224150193,-0.2575246054275404,-0.002066825229709357,-0.17576110996955063,-0.5942580333166705,-0.3294307170467887,-0.19964713425646163,-0.20890262296657536,-0.6074079428714854,-0.041033819316282694,-0.9436951723305445,-0.9638655207527076,-0.5874927242845602,-0.4763797312374587,-1.8383065616190244,-1.0964219847122365,-0.6907252252772371,-0.013772823825242142,-0.01841726613479655,-0.48145557158081487,-5.562280904407031,-0.027566021733923085,-0.19373632393852414,-1.3193368772460823,-1.3969994665702856,-1.0085119682574568,0.027606833740631553,-5.606301939241382,-0.1012259022538824,-0.9484658919131794,-2.0293365657968416,-11.014582690338985,-14.41411123791007,-0.7641929696265706,-0.08041977113965726,-1.1508702570177771,-1.2436630512115263,0.05077834003227211,-1.84103161867265,0.28913828520191187,0.1261809437786514,0.11890878664390858,-0.29175365981512047,-0.6630207291322585,-38.94523950865552,-4.124266853799917,-0.4675361569211045,-0.0688467285472596,-0.304230061989063,-0.14863152946857938,0.12633907722978732,-2.8701491671684414,-2.7213520866386083,-0.8314140423343139,-2.420839327341235,-1.8357743645095037,-0.6727749576456064,-1.2349049795657168,-0.37438855870711785,-0.1101294146986771,-0.3570837553470263,-0.5607066499990938,-0.10316733585603766,-0.26409694914967474,-1.4295621870720199,-0.9762596052954489,-0.05353298403334006,0.0698238292782215,0.06720335005395983,0.08878890658766625,-0.3697883625012528,-1.8413723827718176,-0.07062487675230256,-0.4585750590447626,-0.4670738334784026,0.04539339526159791,-0.06773922883251449
1.138,-0.02265488889946954,-0.29942491145593175,-0.3783687876536994,0.01945571636506027,0.04030970867021022,-0.16754141341963402,-1.5493436559063034,-0.18224006873643028,-2.9012521270051574,-0.2771573230553057,-5.928186009819756,-0.07365398570025783,-0.8123193829155584,-0.020452212085507293,-2.1297963542546405,-1.5609481218177819,-1.68510268022948,-0.10092664033848076,-0.534590437772003,-3.4074975064169086,-0.19464553673456786,-1.008429567545598,-2.1130915586295282,-3.5812247279210467,-0.24720193026194504,-0.002066777289619237,-0.1451498727946321,-0.5782665897248347,-0.34083835577318133,-0.20717986690050672,-0.20890157981615398,-0.6061536998714581,-0.03586365500302935,-0.9265784686678309,-0.9488880775603132,-0.5874924418602077,-0.49371017704305675,-1.8383070626987545,-1.1788141108116816,-0.6564255130213432,-0.013772795596896259,-0.03513608008632274,-0.48145557148095874,-5.373271254427637,-0.02756596326411964,-0.19825961925170055,-1.2754195246461029,-1.398490015103623,-0.9891915689369644,0.023273824939405663,-5.426450427080307,-0.09915123220531519,-0.9401278650382119,-2.005545194128076,-10.961420751141505,-14.415243139351787,-0.7402468919220211,-0.07885610191744474,-1.3155021386040429,-1.2755027681047557,0.03469362567319878,-1.8410315932337373,0.28523275214626076,0.12814757818525613,0.11178973626730027,-0.28355207921606307,-0.6553488608288058,-39.693772967346376,-4.129752380921296,-0.46170355473214975,-0.07018685225485854,-0.29546570802349326,-0.13865848020012894,0.11572201662461445,-2.8636820588232847,-2.6840070924558916,-0.8387686180448992,-2.2965363497362237,-1.8386145677272019,-0.6199081609323809,-1.234905032294734,-0.3743886957592295,-0.11162905509278898,-0.36489684900781616,-0.6119901219165336,-0.0979252229360621,-0.2517377999887336,-1.4370180387084535,-0.9762613543795455,-0.061668363130627846,0.052520781136846884,0.08692711282385879,0.063700142319428,-0.36971748935036963,-1.826365835615015,-0.06271031107801317,-0.4585750216734872,-0.45881609717215643,0.05062646164188922,-0.06963069901639662
1.175,-0.026570821122506638,-0.27535633953934946,-0.37857231771603006,0.023324741036986896,0.03830713679690312,-0.15994309802398243,-1.543251969212915,-0.19139058058602276,-2.88037477456626,-0.27582303942395825,-5.890532330753325,-0.06595814369643382,-0.8025310094035412,-0.017049783743787073,-2.0794007136679715,-1.5022646199903789,-1.5950869613124317,-0.10092663819948133,-0.5122257411921218,-3.572385619595873,-0.1938631443415948,-1.0736470300563878,-2.150465809046747,-3.559832837944069,-0.23793517919914065,-0.0020665786736371317,-0.12101850884059129,-0.5627589248488829,-0.35888318914619877,-0.21530852698469305,-0.20890157975937873,-0.6047307263984394,-0.03103023681875361,-0.9101519083217202,-0.934563680453953,-0.5874927790209485,-0.5117433972690335,-1.8383077923010513,-1.268395123218729,-0.6219573866400898,-0.013772806357959855,-0.05254246726213263,-0.4814555706934014,-5.18156552098374,-0.027566033427844028,-0.19829429480105798,-1.2326804574322083,-1.4002354039900182,-0.9697053693361448,0.018356538130185895,-5.246456973447271,-0.09805749614456727,-0.9320585008390725,-1.9818864810952674,-10.905429014983262,-14.418237057367874,-0.7159281893976484,-0.07731393940928943,-1.5034161889393607,-1.3168874509913149,0.01705310269589544,-1.841031525515476,0.28107922599305735,0.12970809451168086,0.11882117978933615,-0.27474635852469187,-0.6489245503471046,-40.47992760006558,-4.136494934576963,-0.455267413609761,-0.07187247754164217,-0.286574618235093,-0.12903742298212495,0.10416557828806539,-2.857530885213247,-2.6429820560657644,-0.8460571396435006,-2.1699279034501044,-1.8416459230608835,-0.5668284177955518,-1.2349089090242775,-0.3743881668205622,-0.11341666379146531,-0.37276724300912867,-0.6730780248148169,-0.09256019453233355,-0.2395587981073004,-1.4407289362446662,-0.9762601128271093,-0.07022151409042188,0.034128734133080374,0.10604766326793647,0.037533649482216824,-0.3697176362396415,-1.8141255226721866,-0.05462454845878506,-0.45857505775622465,-0.45033911240710855,0.05555932866227531,-0.07199793577860492
1.214,-0.030588798531000272,-0.2512351514434843,-0.37898921791991813,0.027324963825540394,0.03512557344863976,-0.15297663711178688,-1.5371286620728508,-0.2004162190873804,-2.857376309884582,-0.27645850513475057,-5.852640196441311,-0.0586558532288004,-0.7913172993639563,-0.013634956780677943,-2.031755433255573,-1.454988695981764,-1.5077870164091083,-0.10092664324293454,-0.49078839545111186,-3.6385915175963914,-0.19316371095164553,-1.1422137261576428,-2.1865052830538447,-3.5366788688065283,-0.2282712994899463,-0.0020668206341110107,-0.10653152253891873,-0.5470441997912852,-0.37844321812521553,-0.2246534387715362,-0.20890159492845117,-0.6032762109712777,-0.026252815330504164,-0.8929149612542155,-0.91847494179358,-0.5874928864558386,-0.5308268739633699,-1.8383068683847124,-1.3687263376462337,-0.588759942487878,-0.0137728069799945,-0.04852363560049988,-0.4814556348412047,-4.987483021363957,-0.02756603288746251,-0.19829436088585406,-1.1914024914596912,-1.4014789095237168,-0.9504855156024759,0.013740527614023113,-5.0633683341270155,-0.0970259454734872,-0.9229743516361666,-1.9478932631903958,-10.849812005787832,-14.422742162812513,-0.691195332331938,-0.07560484634203757,-1.4868979470748815,-1.3723212795406448,-0.001538969955185987,-1.8410316293866869,0.2766916457132058,0.13107025749299028,0.12371240040177245,-0.2663609970211387,-0.6423085542171718,-41.26877809007195,-4.143016003241267,-0.44854220048378357,-0.0733780149027381,-0.2775942705075989,-0.11896122355350025,0.09121215435229146,-2.8510337841138593,-2.6069432245259145,-0.853590376897142,-2.0438002564756483,-1.8448804361845692,-0.5124745442033602,-1.2349050108705608,-0.3743886798033478,-0.11561311412662234,-0.38051087392746874,-0.7381453022837143,-0.0874232700403883,-0.22732983559329023,-1.4489329447993424,-0.9762591128816811,-0.07926947992838773,0.01979703125211396,0.12525901164495568,0.010308280601370234,-0.36971691116875616,-1.7988947502063177,-0.04709845046557337,-0.458575023885863,-0.46376475884831825,0.06055238654228923,-0.07419858605879948
1.254,-0.03477078348442508,-0.22665155391030023,-0.3796896881399161,0.03097613681071487,0.031664310823096065,-0.14634328333487234,-1.5306221297899096,-0.21003250067211554,-2.8343769240056473,-0.2794069495650313,-5.813664617998986,-0.05186113205291476,-0.7795664977183745,-0.010152609029839832,-1.9872215894898488,-1.4338223833478905,-1.416129478704312,-0.10092663894510556,-0.47350593351469294,-3.6698408160005433,-0.19232247971217653,-1.2155955546081767,-2.226813468413902,-3.511478093663289,-0.21835476896686923,-0.0020668863150945516,-0.09191447167009348,-0.5312933772327002,-0.3996899081920824,-0.2351049719614362,-0.20890164290152335,-0.6018355461755587,-0.021810033065528867,-0.8759367003780101,-0.9023497493964294,-0.5874927600918212,-0.5330907303248635,-1.8383065338839653,-1.4790952109004873,-0.5514620697610422,-0.013772806579878116,-0.0442707678514942,-0.4814555757462937,-4.7926274083106,-0.027565147094312126,-0.1982943701951687,-1.1507436550029935,-1.4014790995948974,-0.9304918237466462,0.008399097039912595,-4.878573774066627,-0.09605819500995705,-0.9139516209621024,-1.887289826510926,-10.793957556197544,-14.427948446935938,-0.6662269043762017,-0.07401624759862413,-1.444936442880548,-1.4355799925406258,-0.0016995504509953463,-1.8410315949312568,0.2720750829643598,0.13220024411483056,0.1279785478111397,-0.2570977937246779,-0.6356305228277555,-42.12875126752939,-4.152758071844201,-0.44188561355064904,-0.07560023468112065,-0.26863873165063623,-0.1090261307268332,0.0783790168588947,-2.844643797289732,-2.5667158139886053,-0.8616748491856343,-1.9170802600888308,-1.848445496929322,-0.45766605160045604,-1.2349063288634294,-0.37438874475746853,-0.11812350471515609,-0.3897693696986315,-0.7061669168978766,-0.08221362930797316,-0.21510275082608876,-1.460161869265613,-0.976259113347576,-0.08889469217114021,0.0050970495670765725,0.14385529721101165,-0.019527916114667754,-0.36971744377230564,-1.7839819672617083,-0.04015953696371177,-0.4585750634293948,-0.45842348076615114,0.06290403242177134,-0.0765280721897692
1.295,-0.039228915872705494,-0.20225577001245343,-0.38067274401277884,0.034785408739389956,0.027609236594012043,-0.14032715912385574,-1.5240255355195935,-0.21986538391424504,-2.8109130044362454,-0.2851992878681717,-5.773359222135708,-0.04530315439564103,-0.7682512070037426,-0.006527632447608678,-1.9461132120159932,-1.412841331597316,-1.3284685571722408,-0.10092663894190368,-0.4524258809672652,-3.7015402741615624,-0.19158597514023423,-1.2991489900430406,-2.2677607746219737,-3.4894645632981858,-0.20860550265305355,-0.002066892048276925,-0.0771191663255022,-0.5160412431186814,-0.4224965123285447,-0.24395562961053452,-0.20890159432938793,-0.6001990839762812,-0.017740200815917984,-0.856131275998826,-0.8863028678812828,-0.5874926936273319,-0.5330751910135003,-1.8383068098833717,-1.600793202163965,-0.5153590508622283,-0.013772805000700217,-0.04051966847082733,-0.4814555805422538,-4.595466260639786,-0.027564870232088978,-0.19829437222816715,-1.1140779973642676,-1.4014791869478453,-0.911234143026014,0.002838258102965563,-4.69144041706332,-0.09516450679478394,-0.9046504664842947,-1.8262915015224324,-10.73479270537631,-14.4367060931221,-0.6406311069818442,-0.07233671320264135,-1.3970065220123837,-1.5212183488002338,-0.0016992694865132218,-1.8410316498639099,0.26719001232014816,0.13287537801307303,0.13078375457116354,-0.2477621966771295,-0.6286234779747935,-43.029856653262485,-4.161760768476519,-0.43502808230997325,-0.07799362913645336,-0.2594810026194223,-0.09916100093000169,0.05464721736714673,-2.8380263777145958,-2.5232588735040973,-0.8703562206480258,-1.789683360141642,-1.8520563723675156,-0.4033922026407406,-1.2349052958795328,-0.37438870036077665,-0.12102932443905456,-0.3982563920937843,-0.6735183220316912,-0.07663632820202348,-0.2030559727805532,-1.4764762202069202,-0.9762591120381245,-0.09905124150272537,-0.010179333984366101,0.1490590893815652,-0.05110323871859057,-0.3697176949528067,-1.769880486383871,-0.03338517077217129,-0.45857508643069145,-0.44694836450453823,0.061606915457711686,-0.07912412635786459
1.337,-0.04362146155513824,-0.17841475853800093,-0.3819228562442847,0.03472009629317241,0.02268753971436066,-0.13459816274535696,-1.5173053136904011,-0.230689165514687,-2.789741032108376,-0.2939259166981114,-5.732167275631231,-0.039480395413714175,-0.7566332311909809,-0.0030696138936379125,-1.9090411139008907,-1.3910739185436403,-1.2397294300920048,-0.10092663552446823,-0.4242918603737629,-3.7336227290289434,-0.19085991938925972,-1.3772093307516835,-2.310972758682127,-3.4634978878629967,-0.19685346147871674,-0.002066792303986542,-0.06253257483198338,-0.5008395305772326,-0.44629369151900367,-0.24155901098200272,-0.2089015806281802,-0.5987258039583221,-0.013819741251575701,-0.832071384905199,-0.8698542338403896,-0.5874927002088333,-0.5330893767245752,-1.8383066511941908,-1.6485582809020651,-0.4786863792543883,-0.013772843788883549,-0.037238504850671594,-0.48145560389213427,-4.38324329373608,-0.027566021506745253,-0.1982943731937843,-1.078027829781043,-1.4014791666439095,-0.8916464930053758,-0.002766354172720975,-4.5027142058314,-0.0943675152210457,-0.8951555307056938,-1.7642234297434647,-10.675079762276866,-14.450806379182643,-0.615146991394455,-0.0706437935157298,-1.3482542120294068,-1.6102574610954643,-0.001699297889101281,-1.8410316074884268,0.26200404748719897,0.1330582699483246,0.13205154094825122,-0.24470463245177743,-0.6215246219943946,-43.99063033199108,-4.169426271160184,-0.4281702695545788,-0.08062481804595678,-0.250237162084439,-0.0893535927096647,0.017786712280949635,-2.83149847901053,-2.48010018945792,-0.8788062906747265,-1.6606375915139182,-1.8560345468112516,-0.3467011369315687,-1.2349049947403694,-0.37438865432253143,-0.12445911187243786,-0.3975264042537767,-0.6406144263673172,-0.07148087607596643,-0.19115265301391338,-1.49455152953221,-0.9762591145774109,-0.11000536001804817,-0.026217695652850148,0.1407414537475732,-0.08514832270277628,-0.36971607423067576,-1.7538951009679677,-0.02667832725964625,-0.45857505551975297,-0.43516037322706214,0.06011244523006487,-0.0816615933946867
